name,mbid,url,image_small,image
Bob Dylan,72c536dc-7137-4477-a521-567eeb840fa8,https://www.last.fm/music/Bob+Dylan,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bob Marley & The Wailers,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,https://www.last.fm/music/Bob+Marley+&+The+Wailers,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bob Marley,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,https://www.last.fm/music/Bob+Marley,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bombay Bicycle Club,0ae49abe-d6af-44fa-8ab0-b9ace5690e6f,https://www.last.fm/music/Bombay+Bicycle+Club,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Booba,785c0e9c-89f6-4bf4-8296-443a46632d62,https://www.last.fm/music/Booba,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bomb the Music Industry!,deaddf4e-1209-4d93-bb75-f53780d1c0c4,https://www.last.fm/music/Bomb+the+Music+Industry%21,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bob Seger,aeea3060-05ba-4dda-8c92-3dc899e24ce8,https://www.last.fm/music/Bob+Seger,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bob Sinclar,f9ab44f1-7b19-4ecb-830c-403abcf36cd1,https://www.last.fm/music/Bob+Sinclar,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Darin,1f223eed-aa38-49da-9e76-62ab3adc2e04,https://www.last.fm/music/Bobby+Darin,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
BTOB,7728b64d-8925-4a1c-b684-a88c6194a241,https://www.last.fm/music/BTOB,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
